Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,age,python_yn,sas_yn,aws_yn,spark_yn,rstudio_yn,sql_yn,tableau_yn,xcel_yn,powerbi_yn,State,min_salary,max_salary,Company
Sr. Data Scientist,108-169,"The Commercial Lines BI team at Woodruff Sawyer is a newly founded capability to enhance the organizations capacity in providing data-backed insights to its clients seeking P&C and liability insurance. The members of this team will work closely with the VP of Commercial Lines Business Intelligence and other enterprise stakeholders to develop and roll out analytics solutions. A successful candidate will apply data science methodologies, actuarial methods, knowledge of insurance, and the latest technological tools to create reusable business intelligence assets.

What you will be doing:

With limited guidance from the leaders, managers, or project leads:
Primarily collects, prepares and analyzes data from various sources.
Executes formal exploratory data analysis for data science projects.
Develops re-usable templates and reports for the review and feedback by other team members.
Prepares analysis summaries and provides to the colleagues and leaders.
Conducts data research and presents findings.
Identifies areas of more in-depth analysis and builds prototypes for IT implementation.
Required Qualifications:
A graduate degree in any of the quantitative disciplines, e.g., Actuarial Science, Math, Engineering, Stats, Finance, or a related discipline.
Knowledge of basic data science algorithms demonstrable through internships, coursework, or a combination.
2+ years of experience in visual analysis packages such as Tableau / Power BI.
2+ years of experience in programming using Python or R.
Skilled in developing presentations in PowerPoint or equivalent.
2+ years of work experience in an insurance or FINTECH environment as a data scientist or BI analyst. (4+ for an undergraduate).
Knowledge of common insurance terminologies. A couple of actuarial exams is a plus.
What you'll be getting from us:
The opportunity to work with sharp, motivated co-workers in a collaborative and entrepreneurial team
A flexible work schedule
A fun office in vibrant downtown San Francisco
Security for your future: Employee Stock Option Program (ESOP), 401K with company match and profit sharing
Medical, Dental and Vision benefits for employees and families (including domestic partners)
Life Insurance, short term and long-term disability benefits
Paid vacation, holiday and sick days
Tuition reimbursement
Access to an Employee Assistance Program
Fun company and team outings",4.0,"Woodruff Sawyer
4.0","San Francisco, CA",201 to 500 Employees,1918,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),0,0,102,y,n,n,n,n,n,y,n,n, CA,108,169,"Woodruff Sawyer
"
Data Scientist/Business Intelligence Engineer,76-130,"Homesite Insurance was founded in 1997 and was one of the first companies to enable customers to purchase home insurance directly online, during a single visit. Since then, we've continued to innovate rapidly to meet the needs of our customers and their changing expectations.

One thing that's stayed the same since our founding: our commitment to our customers, partners and employees.

Join us on our journey as we continue to grow into a powerful contender in the field of insurance.

Homesite Insurance Company is seeking an experienced, passionate and motivated, Data Scientist/ Business Intelligence Engineer, to provide strategic leadership in the areas of Insurance Operations. The ideal candidate must be able to make an immediate impact by working with stakeholders throughout the organization to plan and execute change to impact the bottom line. Their skill set will support the growth of the Commercial line of business by utilizing data to drive decisions that optimize operational results.

This role is part of our Operations Department, which is responsible for managing post sales processing and servicing activities to meet/exceed operational service level agreements in a cost effective manner. This department has business responsibility for policy processing, billing, claims processing, in-sourced and outsourced back office operations, service platform, and business ownership of call center technology platform and operations-based IT initiatives. The Operations Department drives continuous improvement in servicing capabilities through process and IT changes and partner with Underwriting, Finance, Claims, and IT.

The Data Scientist/Business Intelligence Engineer is a highly quantitative problem solver who loves to dig into different kinds of data and can confidently and successfully communicate their findings to stakeholders in different departments. They will act as a strategic change agent to drive the change management and adoption of key initiatives to support the growth of Homesite by leveraging enterprise data to model outcomes and create anomaly detection capabilities. The incumbent will work closely with Customer Service, Billing, Claims, Policy Operations, IT, KTC, Training and external vendors, developing solutions that optimize all areas of operations.

Responsibilities:

-Mine and analyze data from internal and external databases to drive optimization of operations, financial outcomes, customer experience and retention.

-Use statistical and machine learning/deep learning to build supervised, semi-supervised and unsupervised models per business needs.

-Ensure data quality throughout all stages of acquisition and processing, including areas such as data sourcing/collection, ground truth generation, normalization and transformation.

-Communicate proposals and results in a clear manner backed by data and coupled with actionable conclusions to drive business decisions.

-Work with other analysts and team members to translate models into business solutions and collaborate with other departments in the company when necessary.

-Interface with stakeholders and develop innovative approaches to communicate the value add of the models being built.

-Participate in the transfer of knowledge of methodologies and best practices to peers and colleagues through collaboration, mentoring, and formal presentation and consulting.

Required skills:

-Master’s degree or higher in Statistics, Machine Learning, Computer Science, Applied Mathematics, Physics or other quantitative discipline.

-Three to five years business experience in statistical modeling, data mining, machine learning, artificial intelligence, and applying data base queries.

-Proficiency in programming in Python, R and SQL.

-Ability to extract and clean data from a variety of structured and unstructured sources.

-Ability to drive both individual and team projects to completion.

-Demonstrated ability to work with executives, such as CEO, CFO, and CIO on strategic direction setting and decision making.

-Demonstrated ability to build relationships and accomplish goals across a highly matrixed organization.

-Clearly communicate complex findings to colleagues and external customers.

-Monitor the results of statistical models through the use of dashboards and ad hoc analyses.

#LI-TD1",3.1,"Homesite Group
3.1","Boston, MA",1001 to 5000 Employees,1997,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,0,23,y,n,n,n,n,y,n,n,n, MA,76,130,"Homesite Group
"
Aviation AI/ML Data Scientist,80-132,"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

The candidate will work with the FAA and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. The candidate will be responsible for working both individually and with a team of data scientists in the following tasks:
Performing anomaly detection and capability development using a variety of aviation safety data
Leveraging AI/ML techniques and solutions to identify complex patterns for predicting safety hazards
Increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, AI/ML techniques and human SME/analyst expertise
Develop and prototype AI algorithms and software tools.
Enhance and maintain current analysis tools, including automation of current processes using AI/ML algorithms.
Conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets
Develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities
Basic Qualifications:
Demonstrable aerospace/aviation knowledge or experience, this is a must
Bachelor’s Degree in Aerospace Engineering, Computer Science, Mathematics, Statistics, Physics, Electrical Engineering, Computer Engineering or related fields
Hands-on Software Development Skills (Python-Preferred)
Experience or educational courses/projects in Machine Learning, and/or Text Mining Algorithms.
Ability to work closely with domain experts to develop tools/algorithms needed to answer research questions
Excellent Communication Skills (with the ability to explain tools and ML algorithms to a non-technical audience)
Proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems
Strong analytic, inferencing, critical thinking, and creative problem-solving skills
Self-starter with ability to work both independently and with a team
Preferred Qualifications:
5 years of relevant experience
Experience with Deep Learning Frameworks such as Keras, Tensorflow, PyTorch, Mxnet, etc. Ability to apply these frameworks to real problems in the ‘time -series’ domain
Experience with interpretability of deep learning models
Big Data Skills (Azure, Hadoop, Spark, recent deep learning platforms)
Visualizations/Web Development Skills (e.g. Tableau, D3, etc).
Practical experience with statistical analysis
Experience with text mining tools and techniques including in areas of summarization, search (e.g. ELK Stack), entity extraction, training set generation (e.g. Snorkel) and anomaly detection
Expert software development skills lifecycle including developing and maintaining good production quality code
MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright © 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",3.3,"MITRE
3.3","McLean, VA",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),0,0,62,y,n,n,y,n,n,y,y,n, VA,80,132,"MITRE
"
Data Analyst Report Writer,28-60,"Job Summary

This exempt position will report to the Manager of Applications and Development and will develop and support organization-wide reporting. This position is responsible for end-to-end report development including interaction with end users to gather requirements, understanding report objectives, designing and developing reports using the available tools. They will be able to function effectively with limited oversight and moderate on-site training.

The job duties primarily consist of designing, developing, testing and implementing reports to fulfill business requirements. Serve as a subject matter expert across the organization and assist users with reporting and analysis activities and tools, including ad hoc reporting. When necessary, this position may help maintain other elements of the IT infrastructure to include software, hardware, networks and a variety of internet applications and other operating systems.

Essential Job Functions
Experience translating business questions/requirements into meaningful reports/dashboards.
Understanding of relational databases, SQL and advanced querying techniques
Experience in writing Oracle, Queries, SQL Queries, Views, Stored Procedures and Triggers.
Work closely with data modeling to design and implement data structures which meet the business requirement for timely, accurate data
Solve problems and work on multiple projects in a fast-paced, deadline-driven environment.
Communicate effectively, both verbally and in writing, with all levels of staff.
Basic Job Requirements
Crystal Report Writing experience required.
BS in Computer Science, Information Management, Statistics or equivalent work experience to include at least 3 years of experience in a like job.
Preferred Qualifications
Experience developing dashboards
Working knowledge of database design, coding, API development and some programming languages.
Web Development experience including designing, coding and modifying websites.",3.5,"West Star Aviation
3.5","East Alton, IL",1001 to 5000 Employees,1947,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,73,n,n,n,n,n,y,n,n,n, IL,28,60,"West Star Aviation
"
Data Scientist,95-118,"Data Scientist
In this role, you will be set on a constant “treasure hunt” for new data sources to apply the latest techniques for modeling and data analysis. You will be part of a team driving the profit and customer growth of this growing insurance agency.
Essential Functions and Responsibilities
Working with internal and external data to understand and accurately predict:
Shopping behavior;
Retention behavior;
Quote and conversion rates;
Retention and lifetime customer value;
Contribution to overall margin;
Customer satisfaction; and
Other drivers of success you identify worthy of analysis.
Qualifications and Education
Knowledge of new and innovative modeling and statistical techniques – a relevant specialty is preferred.
Detail orientation – attention and desire to work on large data “crunching” projects.
Strong written and oral communication skills and a proven ability to communicate technical concepts to both technical and non-technical audiences.
Creative thinker with the ability to synthesize information from various sources and apply that information to concrete business problems.
Ability to work with and understanding of the merits of various data structures.
Proficiency with the latest modeling software and techniques, such as SAS, R, Python or Tableau.
Ability to understand the need to balance predictive power, interpretability, and ease of implementation.

Education:
An advanced degree in mathematics, machine learning, economics, statistics or a related field.
About the Company
The Plymouth Rock Company and its affiliated group of companies write and manage over $1.4 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,800 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.",3.5,"Plymouth Rock Assurance
3.5","Boston, MA",1001 to 5000 Employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),0,0,38,y,y,n,n,n,n,y,y,n, MA,95,118,"Plymouth Rock Assurance
"
Machine Learning Engineer,54-97,"Machine Learning Engineer
10835
Phoenix, AZ
7/13/2020 11:11:00 AM

IT
Contractor - W2

Job Description
Job Description – Python/ML – Senior Engineer/ Architect

Site Reliability engineering portfolio consists of several mission critical americanexpress.com applications. Web engineering enterprise applications are highly available applications, maintains high (~99.999%) availability in an extremely high throughput transactional system with strict performance requirements. Primary focus of the Site Reliability Engineering team is to conceptualize, design, develop and implement observability related frameworks/common components, instrumenting observability tools for enterprise that will ensure high application reliability, scalability, availability and performance of the Web applications. Site reliability team is embarking on a transformation journey to implement “Automation first” approach in Service Delivery and Site Reliability Engineering space.

What you will be doing:
Conceptualize and implement Machine Learning driven Site Reliability Engineering Framework/Components to improve predictive monitoring and driving SRE team’s journey towards “Automation First” approach
Research latest technology, concepts, conceptualize solution and develop proof of concept that will improve resiliency and performance of the production infrastructure. Design and implement innovative solution/framework that will improve software engineering velocity, infrastructure resiliency and security, and data availability
Develop observability related common framework components (to be leveraged by enterprise applications), define standards for configuration, monitoring, reliability and performance engineering


Qualifications:
A BS degree in Computer Science, Computer Engineering, other Technical discipline, or equivalent work experience
5 + years of experience in Python with emphasis on machine learning
Hands on experience with – Spark, Splunk, Pandas, Numpy, and Scikit-learn
Experience in designing mission critical highly available enterprise applications
Strong knowledge of Linux internals and experience managing Linux systems in high traffic environments
Strong knowledge of machine learning, mathematical modeling, R, and statistics
Strong interpersonal communication skills and the ability to work well in a diverse team-focused environment
5+ years of experience with building Rest APIs, API Integration, and Web Services is preferred
Knowledge of server-side technologies such as WebSphere, JBose, NodeJS is preferred

Job Requirements
Job Description – Python/ML – Senior Engineer/ Architect

Site Reliability engineering portfolio consists of several mission critical americanexpress.com applications. Web engineering enterprise applications are highly available applications, maintains high (~99.999%) availability in an extremely high throughput transactional system with strict performance requirements. Primary focus of the Site Reliability Engineering team is to conceptualize, design, develop and implement observability related frameworks/common components, instrumenting observability tools for enterprise that will ensure high application reliability, scalability, availability and performance of the Web applications. Site reliability team is embarking on a transformation journey to implement “Automation first” approach in Service Delivery and Site Reliability Engineering space.

What you will be doing:
Conceptualize and implement Machine Learning driven Site Reliability Engineering Framework/Components to improve predictive monitoring and driving SRE team’s journey towards “Automation First” approach
Research latest technology, concepts, conceptualize solution and develop proof of concept that will improve resiliency and performance of the production infrastructure. Design and implement innovative solution/framework that will improve software engineering velocity, infrastructure resiliency and security, and data availability
Develop observability related common framework components (to be leveraged by enterprise applications), define standards for configuration, monitoring, reliability and performance engineering


Qualifications:
A BS degree in Computer Science, Computer Engineering, other Technical discipline, or equivalent work experience
5 + years of experience in Python with emphasis on machine learning
Hands on experience with – Spark, Splunk, Pandas, Numpy, and Scikit-learn
Experience in designing mission critical highly available enterprise applications
Strong knowledge of Linux internals and experience managing Linux systems in high traffic environments
Strong knowledge of machine learning, mathematical modeling, R, and statistics
Strong interpersonal communication skills and the ability to work well in a diverse team-focused environment
5+ years of experience with building Rest APIs, API Integration, and Web Services is preferred
Knowledge of server-side technologies such as WebSphere, JBose, NodeJS is preferred",3.8,"IntraEdge
3.8","Phoenix, AZ",501 to 1000 Employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),0,0,18,y,n,n,y,n,n,n,n,n, AZ,54,97,"IntraEdge
"
Deep Learning Research Scientist / Engineer (Deep Learning & Algorithms),74-132,"JOB TITLE

Research Engineer-Deep Learning Theory and Algorithms
Requisition ID

DSA31988
OVERVIEW
Samsung Semiconductor, Inc. in San Diego is searching for research engineers at all levels. Candidate will work as part of a team on research and development of algorithms and theory of machine learning. Candidate will research fundamental theoretical aspects of deep learning as well as develop novel techniques to advance the theory and practice of deep learning. Candidate can also apply the developed theory and algorithms to advance the performance of multimedia applications, such as computer vision, augmented reality, natural language processing, or speech processing.
JOB RESPONSIBILITIES
Understand state of the art machine/deep learning concepts, theory, and applications.
Research algorithms and theory of learning.
Develop machine/deep learning algorithms for mobile processors.
Develop simulators and analyze the performance.
Produce key intellectual property for machine/deep learning.

REQUIRED SKILLS
Strong analytical and problem-solving skills
Expertise in machine/deep learning, optimization, probability theory, statistical inference, information theory, signal processing, and/or image processing
Excellent communication and teamwork skills
C/C++, Python, and/or MATLAB coding skills
Publications in highly ranked journals and conferences
PhD is required

PREFERRED SKILLS
Experience on popular deep learning frameworks

*********************************************************************************************************************** Samsung Semiconductor Inc (SSI), an equal opportunity employer, is a world leader in Memory, System LSI, and LCD technologies. Headquartered in San Jose, California, SSI is a wholly-owned U.S. subsidiary of Samsung Electronics Co., Ltd.- the second largest semiconductor manufacturer in the world and the industry's volume and technology leader in DRAM, NAND Flash, SSDs, mobile DRAM and graphics memory. It is one of the largest providers of system logic, imaging and LED lighting solutions, as well as providing advanced process design and manufacturing for fabless companies. Samsung Semiconductor, Inc. also has a research and innovation center with numerous labs providing product design and research in: logic, memory, image sensors, displays and mobile technologies. In addition, the company supports Samsung Display Company, the largest producer of LCD and OLED displays. ***********************************************************************************************************************
Learn more about Samsung Semiconductor here.

A day in the life Samsung Video

Samsung Semiconductor Career Page",3.5,"Samsung Semiconductor, Inc.
3.5","San Diego, CA",1001 to 5000 Employees,1983,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,37,y,n,n,n,n,n,n,y,n, CA,74,132,"Samsung Semiconductor, Inc.
"
Machine Learning Engineer,65-102,"Description
This role will be part of our Applied Data Team and will be responsible for providing Machine Learning Engineering support.
Tasks & responsibilities required of this role include but are not limited to:
Construct machine learning models including data collection, normalization, and standardization, data pipeline construction, model selection and hyperparameter tuning, working ml systems that can add new data into ml model.
Create apps to present ml models and host them in the cloud or locally.
Create pipelines to query and retrieve and update data for existing applications to keep them updated
Supervise the scaling and management of the machine learning modeling ecosystem
Find orthogonal data sets to supplement models and increase alpha
Stay abreast of new technology and machine learning methodologies and implement them into the model building architecture
Work alongside (re)insurance domain experts to improve predictive aspects of their lines of business
Requirements:
3+ years of demonstrative excellence in building, scaling, and productizing machine learning models
Experience working with sparse, high dimensional, and time series data
Python ml stack
Experience dealing with imbalanced classes
Deep Learning Architectures
ML Optimization Techniques
Cloud Services: Azure, AWS, Google Cloud
Distributed systems: Hadoop, MapReduce, Spark
Databricks
Ensemble Stacking and Meta Learners
Classification and Regression Metrics
Regularization Methods
Version Control
Quant trading experience welcome but not required
Kaggle ranking of expert or higher a plus",3.6,"TransRe
3.6","New York, NY",501 to 1000 Employees,1977,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),0,0,43,y,n,y,y,n,n,n,y,n, NY,65,102,"TransRe
"
Technical Data Analyst,41-75,"GENERAL DESCRIPTION / PRIMARY PURPOSE

The primary responsibilities of the Technical Data Analyst are to conduct full System Design Life Cycle (SDLC) analysis, requirements gathering, solution design activities, implementation and support of data solutions. He/she will perform detailed data analysis, business intelligence tasks including database level administration, report design and data analytics. The Technical Data Analyst will also monitor system performance, provide end user support and identify system and data/reporting improvements.

The Technical Data Analyst will be part of the OneDole ERP initiative working on different areas such as transitioning reports and analytics from our legacy ERP to Microsoft Dynamics, gathering new information requirements with the new systems, solving new needs using Microsoft application (Power BI, SQL Server Studio, Reporting Services, and others).

This position is required to learn and understand the Dole Fresh Fruit business and its business systems (Tranship, Mainsail, OneWorld, Salesforce, Quality System, etc.). This role will also be an extremely important asset for upcoming projects, such as MDM (Master Data Management) and Microsoft Dynamics ERP (Enterprise Resource Planning).
JOR RESPONSIBILITIES AND TASKS/DUTIES OF THE POSITION

Indicate the 6-10 most important responsibilities and, or tasks this position is accountable to accomplish.
Ability to translate business requirements into technical specifications that can be understood and communicated
Design and implement data extractions, data transformation and ETL tasks using SQL Server
Build data solutions with analytics tools such as Tableau and Microsoft Power BI
Use Microsoft BI reporting (SSRS, SSIS, SSAS) and databases (SQL, Oracle, MySql) to fulfill user information needs
Identify opportunities for developing new data sources, and provide technical leadership around making those data sources high quality and broadly available
Support existing data solutions
Be adept at queries, report writing and presenting findings
Coordinate projects and resources related to databases, data integrity and reporting
Required Skills

JOB SPECIFIC COMPETENCIES (Knowledge, Skill And Experience Requirements)
5+ years’ experience in a data analysis
Experience with data interpretation and visualization and related platforms (e.g. Power BI, Tableau)
Proven ability to work in distributed systems
Proficiency with MS SQL Server required
Must be able to develop creative solutions to problems
High-level written and verbal communication skills.
Demonstrated understanding of organizational environment and projects alignment to corporate objectives
Ability to work effectively and efficiently towards goals in a complex, diverse environment with multiple and changing demands
Proven ability to find non-traditional means of accomplishing objectives
Strong problem solving and trouble shooting skills with the ability to exercise mature judgment.
Strong customer service skills
Demonstrates a ‘one team’ / ‘one company’ mindset
INTERNAL & EXTERNAL RELATIONS
VP
Directors
Managers
Sales personnel
Warehouse personnel
Quality personnel
Logistic personnel
Port personnel
Vendors
Consultants
Development companies
Outsourced services
EDUCATION AND CERTIFICATION
Bachelor’s Degree in Computer Science or Engineering required
EMPLOYEE MANAGEMENT
N/A
PHYSICAL REQUIREMENTS
Sit at computer
Able to lift 20lbs
WORK HOUR REQUIREMENT
8:00AM - 5:00PM
Some projects may require on-call
TRAVEL REQUIREMENTS
Ability to travel up to 25% of the time, international and domestic travel
EEOC STATEMENT

All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.

Required Experience

Job Location
Westlake Village, US-CA",3.9,"Dole Food Company, Inc.
3.9","Westlake Village, CA",10000+ Employees,1901,Company - Private,Food Production,Agriculture & Forestry,$2 to $5 billion (USD),0,0,119,n,y,n,n,n,y,y,n,n, CA,41,75,"Dole Food Company, Inc.
"
Aviation Data Scientist and Machine Learning Engineer,106-182,"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

MITRE has an immediate opening for an Aviation Data Scientist with a specialization in machine learning to be part of a dynamic team of professionals working to improve the efficiency of traffic flow management operations in the United States National Airspace System (NAS). We are looking to expand our team with someone with demonstrated technical excellence involving analysis of aviation data and the application of machine learning techniques to solving complex problems. Key Functions: The successful candidate will be part of a team conducting analyses of multiple, integrated sets of aviation, weather, and other related data to identify ways to improve predictive models, identify trends impacting operations, and apply machine learning techniques to solve complex problems. Qualifications: Preferred Qualifications: - Experience using tools such as Java, R, and Python to prepare and analyze time series data. - Coding, data modeling, simulation, and data visualization experience (e.g., Tableau). - Excellent statistical and mathematical skills. - Excellent written and verbal communications skills. - Experience with machine learning techniques and algorithm development. - Familiarity with machine learning frameworks (like TensorFlow, Keras, or PyTorch) and libraries (like scikit-learn). - Knowledge of Hadoop (e.g., Pig, Spark) or another distributed computing system. - Past experience working in the aviation domain and with aviation data. Skill is desired, but not required. Minimum Qualifications: BS in Data Science, Machine Learning, or related field of study.

MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright © 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",3.3,"MITRE
3.3","McLean, VA",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),0,0,62,y,n,n,y,n,n,y,y,n, VA,106,182,"MITRE
"
"Senior Scientist, Machine Learning",132-227,"Do you want to be part of a growing data organization that is helping to shape the game experiences of millions of players? Niantic, the developer of Pokémon GO and Harry Potter: Wizards Unite is looking for a Senior Scientist with the creativity, leadership, and experience to develop meaningful Machine Learning science and game interventions for all our popular titles. Work closely with other scientists, engineers, and product managers to design and deploy machine learning models that elevate gameplay in Niantic's AR driven games where the real world becomes our game board.

Responsibilities
Conceive, design, lead the development, and bring into production new, end-to-end Machine Learning models and associated interventions for personalizing and tuning current and future global games.
Apply a high degree of scientific rigor and real world pragmatism in all your work, particularly to quantify the impact of features on relevant engagement metrics.
Mentor other scientists to grow their skills, create a collaborative environment, and employ tools and methodologies to test, revise, and improve models.
Lead by example: promote deep scientific expertise, constant learning, attention to detail, and an intimate relationship with the data while always being friendly, humble, and open to challenging any assumptions.
Collaborate with data engineers, product managers, and marketing to coordinate timely deployments from conception to release.
Qualifications
Successful candidate will have a PhD in Statistics, Machine Learning, Applied Mathematics, Computer Science, Economics, or a related field, or equivalent experience. A minimum of 4 years of real-world experience developing and deploying machine learning models, preferably in a gaming context.
Strong command of statistics and the science underpinning machine learning techniques and able to defend choices with math as well as real-world tradeoffs.
Expert in ML models for classification, regression, and clustering; experience with production neural networks.
Demonstrated experience with large scale data processing (e.g. BigQuery, Spark, Hive, DataFlow/Beam).
Flexible with tools and programming languages (Python, Java, Scala, Go) and able to learn new technologies quickly.
Plus If...
Knowledge of real-time optimization models with delayed reward (multi-armed bandits, reinforcement learning).
Industry experience developing recommender systems for personalized game predictions or similar.
Experience applying ML models in mobile games, particularly at scale.
Experience working with business stakeholders - understanding and proving impact, resourcing, and schedules.
Join the Niantic team!


Niantic is the world's leading AR technology company, sparking creative and engaging journeys in the real world. Our products inspire outdoor exploration, exercise, and meaningful social interaction.

Originally formed at Google in 2011, we became an independent company in 2015 with a strong group of investors including Nintendo, The Pokémon Company, and Alsop Louie Partners. Our current titles include pioneering global-control game Ingress, record-breaking AR game Pokémon GO, and recently released third title, Harry Potter: Wizards Unite.

Niantic is an Equal Opportunity employer. We believe that cultivating a workplace where our people are supported and included is essential to creating great products our community will love. Our mission emphasizes seeking and hiring diverse voices, including those who are traditionally underrepresented in the technology industry, and we consider this to be one of the most important values we hold close.

We're a hard-working, fun, and exciting group who value intellectual curiosity and a passion for problem-solving! We have growing offices located in San Francisco, Sunnyvale, Bellevue, Los Angeles, London, Tokyo, Hamburg, and Zurich.",4.2,"Niantic
4.2","Sunnyvale, CA",501 to 1000 Employees,2011,Company - Private,Video Games,Media,Unknown / Non-Applicable,0,0,9,y,n,n,y,n,n,n,n,n, CA,132,227,"Niantic
"
